coin_id,base,target,market_identifier,converted_volume_usd,trust_score
bittorrent-2,BTT,BTC,huobi,2464381.0,green
bittorrent-2,BTT,USDC,binance,1133359.0,green
bittorrent-2,BTT,USDT,coinex,1598867.0,green
bittorrent-2,BTT,USDT,decoin,243124.0,green
bittorrent-2,BTT,USDT,biki,383609.0,green
bittorrent-2,BTT,INR,wazirx,1541403.0,green
bittorrent-2,BTT,USD,exrates,64267.0,green
bittorrent-2,BTT,USDT,novadax,42944.0,green
bittorrent-2,BTT,USDT,lbank,663376.0,green
bittorrent-2,BTT,BTC,bithumb_global,5283141.0,green
bittorrent-2,0X8595F9DA7B868B1822194FAED312235E43007B49,WBNB,pancakeswap,428159.0,green
bittorrent-2,BTT,TUSD,binance,234967.0,green
bittorrent-2,BTT,USDT,bitget,20374.0,green
bittorrent-2,BTT,ETH,gate,20225.0,green
bittorrent-2,BTT,TRX,gate,969.47,green
bittorrent-2,BTT,TRX,latoken,12417.18,green
bittorrent-2,BTT,TRX,kucoin,86496.0,green
bittorrent-2,BTT,USD,bitfinex,85769.0,green
bittorrent-2,BTT,USDT,wazirx,256783.0,green
bittorrent-2,BTT,RUB,exmo,55720.0,green
bittorrent-2,BTT,BTC,probit,158538.0,green
bittorrent-2,BTT,USDT,probit,133777.0,green
bittorrent-2,BTT,RUR,yobit,4464.25,green
bittorrent-2,BTT,TRY,narkasa,4009.37,green
bittorrent-2,BTT,USDT,narkasa,8104.26,green
bittorrent-2,BTT,KRW,probit_kr,128174.0,green
bittorrent-2,BTT,USDT,indodax,29522.0,green
bittorrent-2,BTT,USDT,crex24,1766.98,green
bittorrent-2,BTT,INR,bitbns,36669.0,green
bittorrent-2,BTT,TRX,poloniex,48875.0,green
bittorrent-2,BTT,USD,yobit,4559.95,green
bittorrent-2,BTT,BTC,crex24,1621.08,green
ethereum,0X2170ED0880AC9A755FD29B2688956BD959F933F8,0X8595F9DA7B868B1822194FAED312235E43007B49,pancakeswap,17.63,green
bittorrent-2,BTT,BTC,changelly,192739.0,yellow
bittorrent-2,BTT,ETH,changelly,88124.0,yellow
bittorrent-2,BTT,USDT,nami_exchange,2108009.0,yellow
bittorrent-2,BTT,USDT,bithumb_global,13790995.0,yellow
bittorrent-2,BTT,BTC,upbit,281513.0,yellow
bittorrent-2,BTT,VNDC,nami_exchange,1084337.0,yellow
bittorrent-2,BTT,BTC,bittrex,66091.0,yellow
bittorrent-2,BTT,BTC,novadax,12352.82,yellow
bittorrent-2,BTT,USDT,bione,482431.0,yellow
bittorrent-2,BTT,USDT,bitbns,11761.59,yellow
bittorrent-2,BTT,BTC,cex,35977.0,yellow
bittorrent-2,BTT,ETH,novadax,251.71,yellow
bittorrent-2,BTT,EUR,cex,15645.12,yellow
bittorrent-2,BTT,USDT,bitforex,986488.0,yellow
bittorrent-2,BTT,ETH,hotbit,73.49,yellow
bittorrent-2,BTT,BTC,exmo,14230.72,yellow
bittorrent-2,BTT,TRX,huobi,897619.0,yellow
bittorrent-2,BTT,BTC,yobit,4784.24,yellow
bittorrent-2,BTT,USDT,dragonex,147702.0,yellow
bittorrent-2,BTT,BTC,south_xchange,99.41,yellow
bittorrent-2,BTT,USDT,catex,18255.42,yellow
bittorrent-2,BTT,TRX,finexbox,4788.4,yellow
bittorrent-2,BTT,USDC,coinex,21350.0,yellow
bittorrent-2,BTT,USDT,dcoin,28695.0,yellow
reserve-rights-token,RSR,USDT,gate,980181.0,green
reserve-rights-token,RSR,USDT,crypto_com,453714.0,green
reserve-rights-token,RSR,USDT,binance,33757719.0,green
reserve-rights-token,RSR,USDT,digifinex,3485919.0,green
reserve-rights-token,RSR,USDT,okex,23030279.0,green
reserve-rights-token,RSR,BTC,binance,6014047.0,green
reserve-rights-token,RSR,USDT,coinsbit,324550.0,green
reserve-rights-token,RSR,USDT,mxc,1727485.0,green
reserve-rights-token,RSR,USDT,bkex,9912584.0,green
reserve-rights-token,RSR,USDT,hotbit,2540338.0,green
reserve-rights-token,RSR,ETH,mxc,143689.0,green
reserve-rights-token,RSR,BUSD,binance,4789119.0,green
reserve-rights-token,RSR,BTC,okex,4332644.0,green
reserve-rights-token,RSR,USDT,cointiger,435346.0,green
reserve-rights-token,RSR,USD,ftx_spot,3680720.0,green
reserve-rights-token,0X8762DB106B2C2A0BCCB3A80D1ED41273552616E8,ETH,uniswap,1466244.0,green
reserve-rights-token,RSR,USDT,idcm,5838323.0,green
reserve-rights-token,RSR,KRW,bithumb,1036272.0,green
reserve-rights-token,RSR,USDT,bitmart,3958920.0,green
reserve-rights-token,RSR,BNB,binance,599620.0,green
reserve-rights-token,0X8762DB106B2C2A0BCCB3A80D1ED41273552616E8,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,uniswap_v2,396016.0,green
reserve-rights-token,RSR,USDT,bittrex,221889.0,green
reserve-rights-token,RSR,BNT,bancor,123028.0,green
reserve-rights-token,RSR,BTC,upbit,1863430.0,green
reserve-rights-token,RSR,USDT,hoo,869781.0,green
reserve-rights-token,RSR,BTC,hotbit,396130.0,green
reserve-rights-token,RSR,USDT,poloniex,124219.0,green
reserve-rights-token,RSR,USDT,bitget,198663.0,green
reserve-rights-token,RSR,BTC,bittrex,1021802.0,green
reserve-rights-token,RSR,ETH,okex,68071.0,green
reserve-rights-token,RSR,USDT,kickex,441400.0,green
reserve-rights-token,RSR,USD,cex,91615.0,green
reserve-rights-token,RSR,USDT,latoken,732852.0,green
reserve-rights-token,RSR,USDT,zb,282240.0,green
reserve-rights-token,RSR,QC,zb,278680.0,green
reserve-rights-token,RSR,USDT,coinex,68338.0,green
reserve-rights-token,RSR,USDT,xt,135097.0,green
reserve-rights-token,RSR,BTC,coinsbit,65635.0,green
reserve-rights-token,RSR,USDT,probit,187326.0,green
reserve-rights-token,RSR,BTC,hitbtc,4263.24,yellow
reserve-rights-token,RSR,USD,bitcoin_com,700.53,yellow
reserve-rights-token,RSR,USDT,hitbtc,699.95,yellow
reserve-rights-token,RSR,USDT,nami_exchange,1206263.0,yellow
reserve-rights-token,RSR,USDT,hbtc,2204899.0,yellow
reserve-rights-token,RSR,VNDC,nami_exchange,567875.0,yellow
reserve-rights-token,RSR,USDT,huobi,10044416.0,yellow
reserve-rights-token,RSR,USDT,bione,199581.0,yellow
reserve-rights-token,RSR,KRW,probit_kr,140227.0,yellow
reserve-rights-token,RSR,BTC,probit,54455.0,yellow
reserve-rights-token,RSR,USD,coinflex,9182.31,yellow
reserve-rights-token,RSR,EUR,dove_wallet,61.16,yellow
reserve-rights-token,RSR,USDT,wazirx,18489.8,yellow
reserve-rights-token,RSR,BTC,emirex,9990.51,yellow
reserve-rights-token,RSR,XRP,bitrue,14391.46,yellow
reserve-rights-token,RSR,GBP,dove_wallet,164.24,yellow
reserve-rights-token,RSR,USDT,dove_wallet,85.39,yellow
reserve-rights-token,RSR,USDC,dove_wallet,58.61,yellow
reserve-rights-token,RSR,USDT,quoine,19359.57,red
reserve-rights-token,RSR,BTC,quoine,45297.0,red
reserve-rights-token,RSR,BTC,huobi,602318.0,red
reserve-rights-token,RSR,HUSD,huobi,42494.0,red
reserve-rights-token,RSR,HT,huobi,93331.0,red
reserve-rights-token,RSR,BTC,bithumb,15169.51,red
reserve-rights-token,RSR,TUSD,dove_wallet,5.84,red
reserve-rights-token,RSR,BTC,coinex,8016.84,red
reserve-rights-token,RSR,ETH,coinex,7348.83,red
reserve-rights-token,RSR,ETH,dove_wallet,232.39,red
reserve-rights-token,RSR,BTC,upbit_indonesia,1771632.0,
reserve-rights-token,0X8762DB106B2C2A0BCCB3A80D1ED41273552616E8,ETH,one_inch,124647.0,
reserve-rights-token,RSR,SCRT,secretswap,33028.0,
reserve-rights-token,RSR,USDT,huobi_korea,20430.0,
reserve-rights-token,RSR,KRW,huobi_korea,12048.07,
reserve-rights-token,RSR,BTC,huobi_korea,5221.06,
reserve-rights-token,RSR,ETH,secretswap,62.28,
reserve-rights-token,RSR,USDT,emirex,71446.0,green
reserve-rights-token,RSR,USDT,floatsv,1008.89,yellow
reserve-rights-token,0X8762DB106B2C2A0BCCB3A80D1ED41273552616E8,ETH,balancer_v1,561.83,yellow
reserve-rights-token,RSR,BTC,dove_wallet,395.38,red
reserve-rights-token,RSR,USDT,serum_dex,22.58,red
reserve-rights-token,RSR,PAX,dove_wallet,2.6,red
reserve-rights-token,RSR,BCH,bitcoin_com,0.505927,red
reserve-rights-token,RSR,KRW,dove_wallet,0.00442041,red
chainlink,0X514910771AF9CA656AF840DFF83E8264ECF986CA,0X8762DB106B2C2A0BCCB3A80D1ED41273552616E8,uniswap_v2,0.0,
octofi,0X7240AC91F01233BAAF8B064248E80FEAA5912BA3,0X8762DB106B2C2A0BCCB3A80D1ED41273552616E8,uniswap_v2,0.0,
reserve-rights-token,0X8762DB106B2C2A0BCCB3A80D1ED41273552616E8,0XDAC17F958D2EE523A2206206994597C13D831EC7,uniswap_v2,0.0,
dai,0X6B175474E89094C44DA98B954EEDEAC495271D0F,0X8762DB106B2C2A0BCCB3A80D1ED41273552616E8,uniswap_v2,0.0,
reserve-rights-token,0X8762DB106B2C2A0BCCB3A80D1ED41273552616E8,0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,uniswap_v2,0.0,
terra-luna,LUNA,USDT,binance,401517297.0,green
terra-luna,LUNA,USD,bitfinex,86597873.0,green
terra-luna,LUNA,USDT,hitbtc,1633549.0,green
terra-luna,LUNA,USDT,okex,210498084.0,green
terra-luna,LUNA,USDT,gate,37310446.0,green
terra-luna,LUNA,BTC,hitbtc,1013695.0,green
terra-luna,LUNA,USDT,vcc,3139996.0,green
terra-luna,LUNA,BUSD,binance,77080261.0,green
terra-luna,LUNA,UST,bitfinex,46105679.0,green
terra-luna,LUNA,USDT,kucoin,149535646.0,green
terra-luna,LUNA,BTC,binance,63536646.0,green
terra-luna,LUNA,USDT,mxc,4094924.0,green
terra-luna,LUNA,BTC,okex,42031795.0,green
terra-luna,LUNA,USDT,digifinex,39258065.0,green
terra-luna,LUNA,BTC,bitfinex,16869852.0,green
terra-luna,LUNA,BTC,vcc,2484688.0,green
terra-luna,LUNA,USDT,huobi,157374250.0,green
terra-luna,LUNA,USDT,bittrex,11704655.0,green
terra-luna,LUNA,USDT,crypto_com,13605656.0,green
terra-luna,LUNA,ETH,kucoin,14107996.0,green
terra-luna,LUNA,BTC,kucoin,26629060.0,green
terra-luna,LUNA,USDT,phemex,10157479.0,green
terra-luna,LUNA,EUR,binance,19431461.0,green
terra-luna,LUNA,UST,kucoin,31735373.0,green
terra-luna,LUNA,BNB,binance,16873832.0,green
terra-luna,LUNA,BTC,bittrex,6969672.0,green
terra-luna,LUNA,USDT,aax,5613026.0,green
terra-luna,LUNA,BTC,upbit,6919780.0,green
terra-luna,LUNA,USDT,bkex,9136500.0,green
terra-luna,LUNA,USDC,crypto_com,249495.0,green
terra-luna,LUNA,HT,huobi,13485588.0,green
terra-luna,LUNA,USDT,xt,7619727.0,green
terra-luna,LUNA,PLN,bitbay,1743494.0,green
terra-luna,LUNA,USDT,coinex,765020.0,green
terra-luna,LUNA,ETH,gate,2824493.0,green
terra-luna,LUNA,USDT,lbank,419965.0,green
terra-luna,LUNA,BTC,hotbit,15958.32,green
terra-luna,LUNA,KCS,kucoin,347313.0,green
terra-luna,LUNA,BTC,bitbay,18507.69,green
terra-luna,LUNA,ETH,bittrex,386205.0,green
terra-luna,LUNA,USD,bittrex,589291.0,green
terra-luna,LUNA,BCH,coinex,20277.0,green
terra-luna,LUNA,USDT,bitbay,350302.0,green
terra-luna,LUNA,SGD,tokenize,32014.0,yellow
terra-luna,LUNA,USDT,nami_exchange,4536280.0,yellow
terra-luna,LUNA,USDT,bione,9787848.0,yellow
terra-luna,LUNA,BTC,huobi,47849628.0,yellow
terra-luna,LUNA,USDT,hbtc,2033654.0,yellow
terra-luna,LUNA,BTC,coinex,50756.0,red
terra-luna,LUNA,USD,tokenize,8457.19,
terra-luna,LUNA,BTC,upbit_indonesia,6773629.0,
terra-luna,LUNA,BTC,huobi_korea,752039.0,
terra-luna,LUNA,USDT,huobi_korea,327344.0,
terra-luna,LUNA,KRW,coinone,7505777.0,green
terra-luna,LUNA,KRW,gopax,375223.0,green
terra-luna,LUNA,VNDC,nami_exchange,3043227.0,yellow
terra-luna,LUNA,KRW,bithumb,33684043.0,
terra-luna,LUNA,USDT,huobi_id,12314.01,
terra-luna,LUNA,INR,bitbns,1380305.0,
terra-luna,LUNA,USDT,bithumb_global,58565004.0,
terra-luna,LUNA,KRW,gdac,15556.05,
terra-luna,LUNA3L,USDT,gate,15253.32,
terra-luna,LUNA,USDT,bitrue,1130211.0,
terra-luna,LUNA,BTC,bitrue,404880.0,
terra-luna,LUNA,EUR,bitbay,109401.0,
terra-luna,LUNA,KRW,huobi_korea,168482.0,
terra-luna,LUNA,GBP,bitbay,130.68,red
nucypher,NU,USD,gdax,31831211.0,green
nucypher,NU,USDT,binance,29670753.0,green
nucypher,NU,USDT,okex,23112097.0,green
nucypher,NU,USDT,gate,2646154.0,green
nucypher,NU,BUSD,binance,12389892.0,green
nucypher,NU,EUR,gdax,4508869.0,green
nucypher,NU,BTC,binance,6238282.0,green
nucypher,NU,BTC,gdax,4508727.0,green
nucypher,NU,BTC,okex,4719560.0,green
nucypher,NU,USDT,bkex,10622671.0,green
nucypher,NU,USDT,mxc,2495580.0,green
nucypher,NU,GBP,gdax,2044963.0,green
nucypher,NU,USDT,aex,626086.0,green
nucypher,0X4FE83213D56308330EC302A8BD641F1D0113A4CC,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,uniswap_v2,754106.0,green
nucypher,NU,USDT,hotbit,443725.0,green
nucypher,0X4FE83213D56308330EC302A8BD641F1D0113A4CC,0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,sushiswap,143400.0,green
nucypher,NU,BNB,binance,649838.0,green
nucypher,NU,BTC,hotbit,292146.0,green
nucypher,NU,USDT,hoo,296082.0,green
nucypher,0X4FE83213D56308330EC302A8BD641F1D0113A4CC,ETH,uniswap,350638.0,green
nucypher,NU,USD,coinlist,92998.0,green
nucypher,NU,USDT,coinex,78143.0,green
nucypher,NU,USDT,bigone,201603.0,green
nucypher,NU,ETH,gate,1576.4,green
nucypher,0X4FE83213D56308330EC302A8BD641F1D0113A4CC,ETH,uniswap,5417.32,green
nucypher,NU,USDT,hbtc,2560420.0,yellow
nucypher,NU,BTC,bithumb,3153.53,yellow
nucypher,NU,USDT,poloniex,540.45,yellow
nucypher,NU,USDT,huobi,10792254.0,red
nucypher,NU,BTC,huobi,1442457.0,red
nucypher,NU,USDT,huobi_id,10.56,red
nucypher,NU,KRW,bithumb,6012123.0,
nucypher,NU,USDT,huobi_korea,56971.0,
nucypher,NU,KRW,huobi_korea,22645.0,
nucypher,NU,BTC,huobi_korea,5345.59,
wrapped-bitcoin,WBTC,0X4FE83213D56308330EC302A8BD641F1D0113A4CC,uniswap,1619.38,red
nucypher,NU,BTC,hitbtc,3.71,red
nucypher,NU,USDT,hitbtc,192.19,
nucypher,NU,BTC,bitcoin_com,3.72,
nucypher,0X4FE83213D56308330EC302A8BD641F1D0113A4CC,0XDAC17F958D2EE523A2206206994597C13D831EC7,uniswap_v2,0.0,
nucypher,0X4FE83213D56308330EC302A8BD641F1D0113A4CC,0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,uniswap_v2,0.0,
bitcoin-cash,BCH,USD,coinflex,1405747921.0,green
bitcoin-cash,BCH,USD,ftx_us,13426850.0,green
bitcoin-cash,BCH,USDT,ftx_us,12122830.0,green
bitcoin-cash,BCH,BTC,ftx_us,2449872.0,green
bitcoin-cash,BCH,USDT,lbank,138624245.0,green
bitcoin-cash,BCH,BTC,bitcoin_com,21622239.0,green
bitcoin-cash,BCH,BTC,changelly,21558056.0,green
bitcoin-cash,BCH,BTC,hitbtc,21678632.0,green
bitcoin-cash,BCH,USDT,binance,264335913.0,green
bitcoin-cash,BCH,USDT,changelly,55519621.0,green
bitcoin-cash,BCH,USD,bitcoin_com,55486947.0,green
bitcoin-cash,BCH,USDT,hitbtc,55647114.0,green
bitcoin-cash,BCH,USDT,wootrade,7371148.0,green
bitcoin-cash,BCH,USD,gdax,53906603.0,green
bitcoin-cash,BCHN,USD,bitfinex,4882668.0,green
bitcoin-cash,BCH,USDT,digifinex,38549887.0,green
bitcoin-cash,BCH,USD,gemini,10184472.0,green
bitcoin-cash,BCH,USDT,okex,165144152.0,green
bitcoin-cash,BCH,USD,ftx_spot,62830782.0,green
bitcoin-cash,BCH,USDT,bitrue,231951037.0,green
bitcoin-cash,BCH,USD,kraken,16640797.0,green
bitcoin-cash,BCH,USDT,vcc,3145531.0,green
bitcoin-cash,BCH,USD,coinsbit,2672157.0,green
bitcoin-cash,BCH,USD,etorox,3223183.0,green
bitcoin-cash,BCH,USD,currency,2586880.0,green
bitcoin-cash,BCH,USDT,gate,14620988.0,green
bitcoin-cash,BCH,USD,bitstamp,25604770.0,green
bitcoin-cash,BCH,USDT,ftx_spot,7446678.0,green
bitcoin-cash,BCHABC,USDT,zb,2742336.0,green
bitcoin-cash,BCH,BUSD,binance,50168508.0,green
bitcoin-cash,BCH,BTC,coinsbit,1623153.0,green
bitcoin-cash,BCH,USDT,crypto_com,16441231.0,green
bitcoin-cash,BCH,BTC,digifinex,3971355.0,green
bitcoin-cash,BCH,EUR,kraken,9409118.0,green
bitcoin-cash,BCH,USDT,aex,28523718.0,green
bitcoin-cash,BCH,USDT,mxc,5844312.0,green
bitcoin-cash,BCH,BTC,binance,31205193.0,green
bitcoin-cash,BCH,USDT,zbg,811413.0,green
bitcoin-cash,BCH,USDT,bkex,50170116.0,green
bitcoin-cash,BCH,USDT,zb,2742336.0,green
bitcoin-cash,BCH,BTC,currency,105238.0,green
bitcoin-cash,BCH,BTC,ftx_spot,512107.0,green
bitcoin-cash,BCH,BTC,crypto_com,2541170.0,green
bitcoin-cash,BCH,BTC,vcc,1679461.0,green
bitcoin-cash,BCH,USDT,aax,7290144.0,green
bitcoin-cash,BCH,USDT,bibox,71073805.0,green
bitcoin-cash,BCH,EUR,currency,83556.0,green
bitcoin-cash,BCH,USDT,hoo,51245387.0,green
bitcoin-cash,BCH,BTC,okex,21167222.0,green
bitcoin-cash,BCH,JPY,gmo_japan,4247782.0,green
bitcoin-cash,BCH,USDT,kucoin,15218450.0,green
bitcoin-cash,BCH,BTC,whitebit,1777287.0,green
bitcoin-cash,BCH,BTC,gdax,9678852.0,green
bitcoin-cash,BCH,EUR,bitstamp,8793872.0,green
bitcoin-cash,BCH,USDT,dcoin,36573857.0,green
bitcoin-cash,BCH,EUR,gdax,11757683.0,green
bitcoin-cash,BCH,GBP,gdax,2660637.0,green
bitcoin-cash,BCH,USDT,phemex,9346867.0,green
bitcoin-cash,BCH,USD,binance_us,14978309.0,green
bitcoin-cash,BCH,USDT,whitebit,8462697.0,green
bitcoin-cash,BCH,USDT,p2pb2b,43433525.0,green
bitcoin-cash,BCH,USDT,bitmax,3184376.0,green
bitcoin-cash,BCH,BTC,b2bx,109099.0,green
bitcoin-cash,BCH,BTC,finexbox,51661721.0,green
bitcoin-cash,BCH,CRO,crypto_com,333181.0,green
bitcoin-cash,BCH,USDT,idcm,53749914.0,green
bitcoin-cash,BCH,BTC,bitstamp,1735776.0,green
bitcoin-cash,BCH,USDT,biki,5053014.0,green
bitcoin-cash,BCH,BTC,p2pb2b,16223038.0,green
bitcoin-cash,BCH,USDK,okex,20532906.0,green
bitcoin-cash,BCH,RUB,whitebit,217019.0,green
bitcoin-cash,BCH,BTC,kucoin,1577513.0,green
bitcoin-cash,BCH,USDT,bitmart,22526454.0,green
bitcoin-cash,BCHABC,BTC,bigone,18537542.0,green
bitcoin-cash,BCH,BTC,bigone,18537542.0,green
bitcoin-cash,BCC,JPY,bitbank,10427616.0,green
bitcoin-cash,BCHABC,USDT,bigone,25908982.0,green
bitcoin-cash,BCH,USDT,bigone,25909420.0,green
bitcoin-cash,BCH,USDT,binance_us,5750229.0,green
bitcoin-cash,BCHABC,USDT,cointiger,11667661.0,green
bitcoin-cash,BCH,USDT,coinex,4842648.0,green
bitcoin-cash,BCH,USD,blockchain_com,1247526.0,green
bitcoin-cash,BCHABC,USDT,dragonex,63751656.0,green
bitcoin-cash,BCH,USD,cex,4389733.0,green
bitcoin-cash,BCH,BTC,binance_us,2358598.0,green
bitcoin-cash,BCH,BTC,bitmart,28470816.0,green
bitcoin-cash,BCH,BTC,dextrade,288774.0,green
